;Datetime;Close;Predict;P_sma_4;P_sma_10;Signal;Buy_price;Sell_price
773;2021-09-08 13:11:00+01:00;46518.34765625;46623.17462180192;46638.012905671036;46574.65214393201;0;;
774;2021-09-08 13:12:00+01:00;46567.7734375;46519.052422678506;46612.39026269101;46575.06128119209;0;;
775;2021-09-08 13:13:00+01:00;46514.3828125;46567.44855303444;46596.00977907436;46579.821661387694;0;;
776;2021-09-08 13:14:00+01:00;46517.70703125;46509.36764398445;46554.76081037483;46582.07177020083;-1;0.0;0.0
777;2021-09-08 13:15:00+01:00;46505.10546875;46510.69569175665;46526.64107786351;46580.82976934332;-2;;46505.10546875
778;2021-09-08 13:16:00+01:00;46522.58984375;46496.29254848452;46520.951109315014;46574.57876597086;0;;
779;2021-09-08 13:17:00+01:00;46541.06640625;46514.39645461012;46507.688084708934;46566.93049372329;0;;
780;2021-09-08 13:18:00+01:00;46567.3359375;46534.57850286163;46513.990799428226;46558.23404454959;0;;
781;2021-09-08 13:19:00+01:00;46589.4140625;46563.552693531085;46527.20504987184;46551.29226515259;0;;
782;2021-09-08 13:20:00+01:00;46570.078125;46588.85976132378;46550.34685308165;46542.74188940671;1;0.0;0.0
783;2021-09-08 13:21:00+01:00;46598.19921875;46570.445373146664;46564.35908271579;46537.468964541185;2;46598.19921875;
784;2021-09-08 13:22:00+01:00;46556.59765625;46601.28502790665;46581.03571397705;46545.692225064;0;;
785;2021-09-08 13:23:00+01:00;46560.3203125;46558.88273918229;46579.868225389844;46544.83564367878;0;;
786;2021-09-08 13:24:00+01:00;46581.77734375;46563.24415252377;46573.464323189844;46550.22329453272;0;;
787;2021-09-08 13:25:00+01:00;46590.21484375;46585.87384850101;46577.32144202843;46557.74111020715;0;;
788;2021-09-08 13:26:00+01:00;46604.390625;46594.63507213851;46575.65895308639;46567.57536257255;0;;
789;2021-09-08 13:27:00+01:00;46609.0078125;46609.121834980615;46588.21872703597;46577.0479006096;0;;
790;2021-09-08 13:28:00+01:00;46582.984375;46613.28169066004;46600.728111570046;46584.91821938944;0;;
791;2021-09-08 13:29:00+01:00;46627.30078125;46585.10238250454;46600.535245070925;46587.073188286784;0;;
792;2021-09-08 13:30:00+01:00;46640.625;46630.08255184014;46609.39711499633;46591.195467338424;0;;
793;2021-09-08 13:31:00+01:00;46584.91796875;46642.99727506666;46617.86597501785;46598.45065753042;0;;
794;2021-09-08 13:32:00+01:00;46534.01953125;46583.72383188452;46610.47651032396;46596.69453792821;0;;
795;2021-09-08 13:33:00+01:00;46562.47265625;46529.045534789395;46596.46229839518;46593.71081748892;0;;
796;2021-09-08 13:34:00+01:00;46553.11328125;46557.6493942765;46578.354009004266;46593.15134166419;-1;0.0;0.0
797;2021-09-08 13:35:00+01:00;46602.26171875;46547.40520190521;46554.455990713905;46589.30447700461;-2;;46602.26171875
798;2021-09-08 13:36:00+01:00;46566.078125;46598.99054798149;46558.27266973815;46589.740024588915;0;;
799;2021-09-08 13:37:00+01:00;46565.79296875;46562.09657669696;46566.535430215044;46585.03749876055;0;;
800;2021-09-08 13:38:00+01:00;46601.37890625;46562.601786090934;46567.77352816865;46579.969508303635;0;;
801;2021-09-08 13:39:00+01:00;46568.0703125;46600.82337363225;46581.12807110041;46581.54160741641;0;;
802;2021-09-08 13:40:00+01:00;46632.640625;46567.35642990116;46573.21954158033;46575.268995222505;0;;
803;2021-09-08 13:41:00+01:00;46656.25390625;46635.74944916163;46591.63275969649;46574.54421263201;1;0.0;0.0
804;2021-09-08 13:42:00+01:00;46646.1796875;46661.64004012105;46616.392323204025;46582.335833455654;2;46646.1796875;
805;2021-09-08 13:43:00+01:00;46656.62890625;46651.85963806633;46629.151389312545;46594.61724378335;0;;
806;2021-09-08 13:44:00+01:00;46694.35546875;46662.85070272627;46653.02495751881;46605.13737462833;0;;
807;2021-09-08 13:45:00+01:00;46656.39453125;46701.80213547748;46669.53812909778;46620.57706798556;0;;
808;2021-09-08 13:46:00+01:00;46543.16796875;46661.32007697185;46669.45813831049;46626.81002088459;0;;
809;2021-09-08 13:47:00+01:00;46474.9609375;46541.000971980255;46641.74347178896;46624.700460412925;0;;
810;2021-09-08 13:48:00+01:00;46426.421875;46466.92804755763;46592.762807996805;46615.13308655959;-1;0.0;0.0
811;2021-09-08 13:49:00+01:00;46199.828125;46414.58690718113;46520.95900092272;46596.50943991448;-2;;46199.828125
812;2021-09-08 13:50:00+01:00;46297.09765625;46174.07893143801;46399.14871453925;46557.181690068166;0;;
813;2021-09-08 13:51:00+01:00;46343.87890625;46279.26316299425;46333.71426229276;46521.533061451424;0;;
814;2021-09-08 13:52:00+01:00;46320.96875;46331.84215361086;46299.94278880606;46488.553272800404;0;;
815;2021-09-08 13:53:00+01:00;46352.1875;46311.27120286059;46274.11386272593;46454.49442927983;0;;
816;2021-09-08 13:54:00+01:00;46340.7421875;46348.73477281598;46317.77782307042;46423.0828362888;0;;
817;2021-09-08 13:55:00+01:00;46305.20703125;46340.57325560145;46333.10534622222;46386.9599483012;0;;
818;2021-09-08 13:56:00+01:00;46289.9609375;46306.41103735759;46326.747567158905;46351.46904433977;0;;
819;2021-09-08 13:57:00+01:00;46329.3671875;46293.304864314996;46322.2559825225;46326.699433573245;0;;
820;2021-09-08 13:58:00+01:00;46305.890625;46336.94101636796;46319.3075434105;46313.70073045428;1;0.0;0.0
821;2021-09-08 13:59:00+01:00;46282.78515625;46313.750253695136;46312.601792933914;46303.61706510568;2;46282.78515625;
822;2021-09-08 14:00:00+01:00;46278.91796875;46289.980617905974;46308.49418807102;46315.20723375247;-1;0.0;0.0
823;2021-09-08 14:01:00+01:00;46322.02734375;46285.612151981564;46306.57100998766;46315.8421326512;-2;;46322.02734375
824;2021-09-08 14:02:00+01:00;46365.0703125;46330.04865487234;46304.847919613756;46315.662782777355;0;;
825;2021-09-08 14:03:00+01:00;46357.7265625;46374.053271179466;46319.923673984835;46321.94098960924;0;;
826;2021-09-08 14:04:00+01:00;46368.171875;46364.73102135173;46338.61127484628;46323.54061446282;1;0.0;0.0
827;2021-09-08 14:05:00+01:00;46404.8984375;46373.52693292978;46360.589970083325;46326.835982195655;2;46404.8984375;
828;2021-09-08 14:06:00+01:00;46410.45703125;46409.8333236112;46380.53613726804;46337.17821082102;0;;
829;2021-09-08 14:07:00+01:00;46413.4296875;46413.35314028514;46390.361104544456;46349.18303841803;0;;
830;2021-09-08 14:08:00+01:00;46396.45703125;46414.31260246752;46402.756499823416;46356.92019702798;0;;
831;2021-09-08 14:09:00+01:00;46407.69140625;46394.448927850804;46407.986998553664;46364.990064443555;0;;
832;2021-09-08 14:10:00+01:00;46429.80859375;46404.413246725904;46406.63197933234;46376.43332732555;0;;
833;2021-09-08 14:11:00+01:00;46451.4296875;46426.51060061552;46409.921344414935;46390.52317218894;0;;
834;2021-09-08 14:12:00+01:00;46481.84765625;46448.49865078034;46418.46785649314;46402.368171779744;0;;
835;2021-09-08 14:13:00+01:00;46448.50390625;46480.204499923246;46439.90674951125;46412.98329465412;0;;
836;2021-09-08 14:14:00+01:00;46379.015625;46445.31281727321;46450.13164214808;46421.04147424627;0;;
837;2021-09-08 14:15:00+01:00;46375.375;46372.47933160945;46436.62382489656;46420.93671411423;0;;
838;2021-09-08 14:16:00+01:00;46374.8046875;46369.02006402284;46416.75417820719;46416.855388155396;-1;0.0;0.0
839;2021-09-08 14:17:00+01:00;46315.58984375;46369.3120833532;46389.03107406468;46412.45128246221;-2;;46315.58984375
840;2021-09-08 14:18:00+01:00;46250.578125;46308.32811227895;46354.784897816106;46401.85283344334;0;;
841;2021-09-08 14:19:00+01:00;46120.22265625;46241.443368840766;46322.02590712394;46386.552277542345;0;;
842;2021-09-08 14:20:00+01:00;45989.01953125;46105.82478425583;46256.22708718218;46356.69343129534;0;;
843;2021-09-08 14:21:00+01:00;45968.7109375;45969.1867434643;46156.19575220996;46310.96104558022;0;;
844;2021-09-08 14:22:00+01:00;45930.40625;45951.086238734955;46066.885283823955;46261.21980437568;0;;
845;2021-09-08 14:23:02+01:00;45844.55859375;45914.77308587821;45985.21771308332;46204.676662971164;0;;
